category_id,category_name,groups,candidate_hits,candidate_hit_rate,mean_nearest_iou,mean_hit_iou,train_gt_count,valid_gt_count,test_gt_count
3,n01495701,11,2,0.18181818181818182,0.5195818597620184,0.6471785455942154,14,1,2
117,n03761084,11,2,0.18181818181818182,0.30992295438508416,0.9502987861633301,5,0,3
132,n03958227,11,2,0.18181818181818182,0.2561808607795022,0.46193040162324905,29,2,4
46,n02484322,169,36,0.21301775147928995,0.41944786510154736,0.6811591114641892,29,6,11
139,n04026417,42,9,0.21428571428571427,0.1650219720211767,0.34705279933081734,22,8,2
120,n03790512,20,5,0.25,0.5025850735604763,0.6951018333435058,19,6,4
148,n04154565,20,5,0.25,0.2032642185688019,0.17770293951034546,12,1,2
54,n02769748,8,2,0.25,0.4267295924946666,0.6904563903808594,19,9,2
20,n02118333,4,1,0.25,0.8739543855190277,0.9573712944984436,10,6,1
160,n04356056,61,16,0.26229508196721313,0.07388410363040987,0.17897718586027622,36,1,6
7,n01674464,117,31,0.26495726495726496,0.25773468006573397,0.590971139650191,23,2,4
67,n02880940,30,8,0.26666666666666666,0.3282592467032373,0.6797479121014476,56,8,3
61,n02815834,32,9,0.28125,0.2771698192227632,0.1841456186440256,21,0,1
21,n02121808,10,3,0.3,0.4543570175766945,0.6365762017667294,19,2,2
194,n07749582,53,16,0.3018867924528302,0.5411632765031789,0.8553129211068153,25,8,13
4,n01503061,1048,323,0.30820610687022904,0.27860881694921785,0.5653339494661292,180,23,38
128,n03916031,19,6,0.3157894736842105,0.5070559947114242,0.7161984940369924,7,1,2
154,n04256520,45,15,0.3333333333333333,0.36453276513558297,0.7414101620515188,16,5,4
14,n01944390,12,4,0.3333333333333333,0.38790945212046307,0.5251770801842213,13,0,1
69,n02892767,6,2,0.3333333333333333,0.3406471808751424,0.2551509365439415,23,0,3
122,n03797390,6,2,0.3333333333333333,0.49707726455138374,0.4704342578770593,32,4,1
63,n02834778,26,9,0.34615384615384615,0.5306130101940093,0.6530569063292609,15,2,5
64,n02840245,22,8,0.36363636363636365,0.494629637084224,0.5235224599018693,12,2,4
84,n03128519,11,4,0.36363636363636365,0.4328479387543418,0.3239518729969859,36,3,1
37,n02395003,32,12,0.375,0.5547809994386625,0.7850635896126429,15,0,3
72,n02958343,155,59,0.38064516129032255,0.28596637758816923,0.3918306423761582,70,21,14
106,n03495258,24,11,0.4583333333333333,0.43297088565304875,0.5862660218368877,11,0,2
1,n00007846,2057,949,0.46135148274185706,0.3076670927330199,0.5129762396049069,746,179,143
41,n02419796,41,19,0.4634146341463415,0.48973150369597646,0.7640051998590168,26,0,3
17,n02062744,30,14,0.4666666666666667,0.5633609058645864,0.7132125156266349,6,0,2
51,n02691156,40,19,0.475,0.2706995734362863,0.48709970693054955,15,0,4
38,n02398521,59,29,0.4915254237288136,0.44060346484184265,0.4944602181685382,6,0,2
48,n02509815,16,8,0.5,0.6573147084563971,0.6641950905323029,6,0,2
125,n03838899,10,5,0.5,0.622638531960547,0.7757611632347107,9,1,3
112,n03642806,6,3,0.5,0.7360473275184631,0.8031832575798035,7,3,1
35,n02374451,71,36,0.5070422535211268,0.4615065356270528,0.43561582391460735,30,0,3
171,n04530566,291,149,0.5120274914089347,0.22130268949717669,0.38245433704590037,56,18,9
8,n01726692,90,47,0.5222222222222223,0.3321699974411685,0.4837737671951664,34,4,4
40,n02411705,23,13,0.5652173913043478,0.45906771533191204,0.5501835621320285,19,1,2
19,n02084071,944,543,0.5752118644067796,0.3522320016742666,0.4915972299061233,196,46,36
107,n03513137,155,91,0.5870967741935483,0.3292806999938142,0.432554348013722,56,25,13
76,n03001627,177,105,0.5932203389830508,0.40358183610563475,0.526543321815275,125,25,27
89,n03207941,30,18,0.6,0.3918718062341213,0.44534750903646153,8,1,1
164,n04392985,10,6,0.6,0.16420273929834367,0.015850208699703217,12,2,2
198,n07768694,117,71,0.6068376068376068,0.08050392163344301,0.08469785176689776,26,1,4
163,n04379243,252,153,0.6071428571428571,0.33293844685272594,0.4747024690488877,96,20,20
111,n03636649,54,33,0.6111111111111112,0.27024301006976104,0.376801366099354,32,4,13
177,n04591157,13,8,0.6153846153846154,0.49544862600473255,0.5901896357536316,10,1,3
28,n02268443,19,12,0.631578947368421,0.3347634454012701,0.43585573602467775,9,0,1
