gt_category_id,gt_category_name,pred_category_id,pred_category_name,top_k,iou_threshold,gt_count,loc_matched_count,pair_count,pair_fraction_of_gt,pair_fraction_of_loc_matched,mean_iou,mean_score,is_correct_category
111,n03636649,123,n03804744,100,0.5,13,4,1,0.07692307692307693,0.25,0.8459763097306223,0.05508538708090782,False
120,n03790512,1,n00007846,100,0.5,4,4,1,0.25,0.25,0.7062657292614044,0.13182233273983002,False
120,n03790512,5,n01639765,100,0.5,4,4,1,0.25,0.25,0.7122079872360726,0.15657468140125275,False
154,n04256520,19,n02084071,100,0.5,4,4,1,0.25,0.25,0.7411623717328166,0.40914100408554077,False
154,n04256520,76,n03001627,100,0.5,4,4,1,0.25,0.25,0.9817486320962925,0.45862334966659546,False
154,n04256520,163,n04379243,100,0.5,4,4,1,0.25,0.25,0.9418096969474415,0.18401652574539185,False
188,n07718747,6,n01662784,100,0.5,4,4,1,0.25,0.25,0.9820868348599712,0.3088306486606598,False
188,n07718747,7,n01674464,100,0.5,4,4,1,0.25,0.25,0.9110623167729713,0.19131812453269958,False
198,n07768694,1,n00007846,100,0.5,4,4,1,0.25,0.25,0.880948914584094,0.08801928907632828,False
198,n07768694,7,n01674464,100,0.5,4,4,1,0.25,0.25,0.9816737171246561,0.1975308656692505,False
198,n07768694,28,n02268443,100,0.5,4,4,1,0.25,0.25,0.9715253305228516,0.07015760242938995,False
198,n07768694,194,n07749582,100,0.5,4,4,1,0.25,0.25,0.9268573152125139,0.2573660612106323,False
58,n02799071,51,n02691156,100,0.5,6,6,1,0.16666666666666666,0.16666666666666666,0.9683841752105306,0.24176613986492157,False
171,n04530566,163,n04379243,100,0.5,9,7,1,0.1111111111111111,0.14285714285714285,0.8942086336587229,0.15096621215343475,False
92,n03255030,3,n01495701,100,0.5,14,8,1,0.07142857142857142,0.125,0.8738698373774213,0.09235669672489166,False
92,n03255030,8,n01726692,100,0.5,14,8,1,0.07142857142857142,0.125,0.7352229859457707,0.16111817955970764,False
92,n03255030,194,n07749582,100,0.5,14,8,1,0.07142857142857142,0.125,0.894426922705782,0.16635437309741974,False
183,n07695742,47,n02503517,100,0.5,9,9,1,0.1111111111111111,0.1111111111111111,0.9670591613610536,0.28101152181625366,False
183,n07695742,127,n03908714,100,0.5,9,9,1,0.1111111111111111,0.1111111111111111,0.958269251063206,0.23538528382778168,False
113,n03676483,18,n02076196,100,0.5,11,10,1,0.09090909090909091,0.1,0.9192401595835796,0.10665926337242126,False
113,n03676483,89,n03207941,100,0.5,11,10,1,0.09090909090909091,0.1,0.6230453239262199,0.1751275658607483,False
113,n03676483,122,n03797390,100,0.5,11,10,1,0.09090909090909091,0.1,0.9010336146034609,0.16327810287475586,False
46,n02484322,4,n01503061,100,0.5,11,11,1,0.09090909090909091,0.09090909090909091,0.8585259110715677,0.49099165201187134,False
46,n02484322,7,n01674464,100,0.5,11,11,1,0.09090909090909091,0.09090909090909091,0.8893780941634026,0.04677658528089523,False
191,n07739125,4,n01503061,100,0.5,11,11,1,0.09090909090909091,0.09090909090909091,0.7950899305419373,0.2983776926994324,False
191,n07739125,46,n02484322,100,0.5,11,11,1,0.09090909090909091,0.09090909090909091,0.8826470511242372,0.1869572550058365,False
191,n07739125,165,n04409515,100,0.5,11,11,1,0.09090909090909091,0.09090909090909091,0.8708016961741474,0.2376391589641571,False
194,n07749582,56,n02786058,100,0.5,13,12,1,0.07692307692307693,0.08333333333333333,0.9742596307703298,0.37264585494995117,False
72,n02958343,35,n02374451,100,0.5,14,13,1,0.07142857142857142,0.07692307692307693,0.7388070284473668,0.22457262873649597,False
72,n02958343,83,n03124170,100,0.5,14,13,1,0.07142857142857142,0.07692307692307693,0.6854566463235987,0.1448187232017517,False
163,n04379243,72,n02958343,100,0.5,20,15,1,0.05,0.06666666666666667,0.839507396122403,0.12743768095970154,False
4,n01503061,26,n02206856,100,0.5,38,38,1,0.02631578947368421,0.02631578947368421,0.8925507618149531,0.06053055450320244,False
1,n00007846,46,n02484322,100,0.5,143,133,1,0.006993006993006993,0.007518796992481203,0.7356840713588831,0.10191285610198975,False
1,n00007846,111,n03636649,100,0.5,143,133,1,0.006993006993006993,0.007518796992481203,0.7227458828732833,0.03429064527153969,False
1,n00007846,1,n00007846,100,0.5,143,133,131,0.916083916083916,0.9849624060150376,0.881621940058914,0.5519013816903111,True
19,n02084071,19,n02084071,100,0.5,36,36,36,1.0,1.0,0.9336788016064733,0.7692598985094163,True
4,n01503061,4,n01503061,100,0.5,38,38,31,0.8157894736842105,0.8157894736842105,0.9280066759078249,0.5526056055340075,True
76,n03001627,76,n03001627,100,0.5,27,23,23,0.8518518518518519,1.0,0.7785155597129708,0.36739178001880646,True
107,n03513137,107,n03513137,100,0.5,13,11,11,0.8461538461538461,1.0,0.8283811535680745,0.28391109881075943,True
194,n07749582,194,n07749582,100,0.5,13,12,11,0.8461538461538461,0.9166666666666666,0.8519775248594588,0.275960771874948,True
163,n04379243,163,n04379243,100,0.5,20,15,10,0.5,0.6666666666666666,0.9039015278302154,0.2270246773958206,True
72,n02958343,72,n02958343,100,0.5,14,13,9,0.6428571428571429,0.6923076923076923,0.8812804832620343,0.4365720988975631,True
171,n04530566,171,n04530566,100,0.5,9,7,6,0.6666666666666666,0.8571428571428571,0.9471967448651902,0.3022531059881051,True
8,n01726692,8,n01726692,100,0.5,4,4,4,1.0,1.0,0.9497521142052654,0.40624192729592323,True
35,n02374451,35,n02374451,100,0.5,3,3,2,0.6666666666666666,0.6666666666666666,0.9726643259417679,0.3127898722887039,True
41,n02419796,41,n02419796,100,0.5,3,3,2,0.6666666666666666,0.6666666666666666,0.9124463403492771,0.058851514011621475,True
