category_id,category_name,groups,candidate_hits,candidate_hit_rate,mean_nearest_iou,mean_hit_iou,train_gt_count,valid_gt_count,test_gt_count
194,n07749582,71,20,0.28169014084507044,0.34920710403944405,0.6901573373004795,25,8,13
40,n02411705,21,6,0.2857142857142857,0.39091571801829905,0.5950207014878591,19,1,2
72,n02958343,153,45,0.29411764705882354,0.24887375084354596,0.42858821375088557,70,21,14
24,n02131653,17,5,0.29411764705882354,0.46106398708241825,0.9369248509407043,16,2,1
48,n02509815,17,5,0.29411764705882354,0.563486313995193,0.6883211076259613,6,0,2
4,n01503061,1495,452,0.30234113712374583,0.2428138951830921,0.4910578812962909,180,23,38
148,n04154565,16,5,0.3125,0.19599503790959716,0.1651747703552246,12,1,2
9,n01770393,28,9,0.32142857142857145,0.49481561593711376,0.48942216568522984,6,0,1
154,n04256520,54,18,0.3333333333333333,0.33503840379610966,0.7308484150303735,16,5,4
111,n03636649,33,11,0.3333333333333333,0.3059660598184123,0.4469221830368042,32,4,13
165,n04409515,3,1,0.3333333333333333,0.727149655421575,0.9092609882354736,28,0,1
58,n02799071,23,8,0.34782608695652173,0.6744958926802096,0.8416727669537067,18,1,6
88,n03196217,20,7,0.35,0.5550045939162374,0.7823371035712106,17,0,1
41,n02419796,70,25,0.35714285714285715,0.28521645940574153,0.49508806571364405,26,0,3
21,n02121808,11,4,0.36363636363636365,0.4249120913022621,0.8395718932151794,19,2,2
43,n02444819,11,4,0.36363636363636365,0.5789296308701689,0.7017389312386513,8,0,2
191,n07739125,70,28,0.4,0.36751424571765323,0.5503138404206506,31,8,11
17,n02062744,20,8,0.4,0.4658938482403755,0.6875774413347244,6,0,2
90,n03211117,20,8,0.4,0.25280551239848137,0.3254457712173462,39,6,3
85,n03134739,5,2,0.4,0.8081110119819641,0.784950315952301,10,4,2
7,n01674464,126,51,0.40476190476190477,0.3718218508523904,0.5379877283292658,23,2,4
35,n02374451,51,22,0.43137254901960786,0.40979930194204345,0.4910295517607169,30,0,3
19,n02084071,1103,476,0.4315503173164098,0.29127900504690984,0.46972014619665564,196,46,36
37,n02395003,29,13,0.4482758620689655,0.4156222103629261,0.7491311889428359,15,0,3
1,n00007846,1897,860,0.4533473906167633,0.30452366573866174,0.49219942772962344,746,179,143
125,n03838899,11,5,0.45454545454545453,0.7302639457312498,0.7476514458656311,9,1,3
60,n02807133,34,17,0.5,0.43096018977024975,0.5039906983866411,13,0,2
20,n02118333,4,2,0.5,0.5643128603696823,0.9617632627487183,10,6,1
179,n06874185,2,1,0.5,0.7557141780853271,0.7627773880958557,9,12,1
14,n01944390,9,5,0.5555555555555556,0.37745890849166447,0.4904384210705757,13,0,1
171,n04530566,303,171,0.5643564356435643,0.20989166028112197,0.324191699837939,56,18,9
65,n02870880,14,8,0.5714285714285714,0.35907669737935066,0.4092847593128681,19,2,1
28,n02268443,36,21,0.5833333333333334,0.3071600010929008,0.4470303436475141,9,0,1
182,n07693725,12,7,0.5833333333333334,0.5611807620152831,0.5490541782762323,19,0,2
8,n01726692,88,52,0.5909090909090909,0.36611102671701123,0.4962041760938099,34,4,4
163,n04379243,264,162,0.6136363636363636,0.3367158106420627,0.44861205303351637,96,20,20
173,n04540053,8,5,0.625,0.7288312278687954,0.8418102741241456,8,1,2
107,n03513137,116,75,0.646551724137931,0.37371563880264275,0.4714141444613536,56,25,13
2,n01443537,16,11,0.6875,0.5124497711658478,0.5720298290252686,19,0,3
76,n03001627,151,111,0.7350993377483444,0.43962635468562067,0.5074149264979202,125,25,27
134,n03991062,6,5,0.8333333333333334,0.6050444841384888,0.5977066636085511,38,1,2
149,n04228054,30,27,0.9,0.3923017884294192,0.3926756713125441,22,0,4
177,n04591157,12,12,1.0,0.5046348298589388,0.5046348298589388,10,1,3
176,n04557648,1,1,1.0,0.825461208820343,0.825461208820343,24,5,1
