category_id,category_name,max_groups,high_support_runs,zero_hit_runs,transition,hit_rate_delta_latest_vs_base,nearest_iou_delta_latest_vs_base,base_groups,base_hits,base_hit_rate,base_mean_nearest_iou,base_zero_hit,full_lr_2ep_groups,full_lr_2ep_hits,full_lr_2ep_hit_rate,full_lr_2ep_mean_nearest_iou,full_lr_2ep_zero_hit,extra_low_lr_groups,extra_low_lr_hits,extra_low_lr_hit_rate,extra_low_lr_mean_nearest_iou,extra_low_lr_zero_hit
67,n02880940,33,3,0,persistent_candidate_hit,0.0666666666667,-0.0524388543951,30,6,0.2,0.380698101098,0,33,10,0.30303030303,0.461772903221,0,30,8,0.266666666667,0.328259246703,0
9,n01770393,33,3,0,persistent_candidate_hit,-0.307359307359,-0.0574559612095,21,9,0.428571428571,0.446151139481,0,30,2,0.0666666666667,0.392248994919,0,33,4,0.121212121212,0.388695178271,0
37,n02395003,32,2,0,persistent_candidate_hit,-0.15625,0.075716499392,32,17,0.53125,0.479064500047,0,14,7,0.5,0.614675857393,0,32,12,0.375,0.554780999439,0
61,n02815834,32,3,0,persistent_candidate_hit,0.08125,-0.0632359340321,25,5,0.2,0.340405753255,0,31,5,0.161290322581,0.2410875941,0,32,9,0.28125,0.277169819223,0
58,n02799071,31,2,0,persistent_candidate_hit,0.538709677419,-0.0472065552881,20,6,0.3,0.69631562829,0,18,13,0.722222222222,0.795281632907,0,31,26,0.838709677419,0.649109073002,0
60,n02807133,29,3,0,persistent_candidate_hit,0.224137931034,-0.0533153318811,24,12,0.5,0.48586932073,0,27,16,0.592592592593,0.405767338695,0,29,21,0.724137931034,0.432553988849,0
143,n04116512,25,3,0,persistent_candidate_hit,0.0383333333333,-0.055267322852,24,1,0.0416666666667,0.18192606528,0,25,1,0.04,0.175480981693,0,25,2,0.08,0.126658742428,0
49,n02510455,42,1,0,new_high_support_in_extra_low_lr,-0.04329004329,-0.419352797185,11,1,0.0909090909091,0.515533447943,0,14,3,0.214285714286,0.483172427231,0,42,2,0.047619047619,0.0961806507576,0
150,n04252077,38,2,1,new_high_support_in_extra_low_lr,0.142857142857,0.00455197799186,16,0,0,0.330936555343,0,38,0,0,0.225049124197,1,21,3,0.142857142857,0.335488533335,0
17,n02062744,38,2,0,new_high_support_in_extra_low_lr,0.133333333333,0.0884029685934,18,6,0.333333333333,0.474957937271,0,38,10,0.263157894737,0.49434721563,0,30,14,0.466666666667,0.563360905865,0
