gt_category_id,gt_category_name,pred_category_id,pred_category_name,top_k,iou_threshold,gt_count,loc_matched_count,pair_count,pair_fraction_of_gt,pair_fraction_of_loc_matched,mean_iou,mean_score,is_correct_category
10,n01776313,131,n03950228,100,0.5,3,2,1,0.3333333333333333,0.5,0.9606157553467115,0.047941166907548904,False
12,n01882714,42,n02437136,100,0.5,2,2,1,0.5,0.5,0.7864149431072739,0.04973306879401207,False
12,n01882714,186,n07714571,100,0.5,2,2,1,0.5,0.5,0.6255502177105222,0.023491879925131798,False
42,n02437136,19,n02084071,100,0.5,2,2,1,0.5,0.5,0.9628535892850237,0.5350691080093384,False
50,n02672831,76,n03001627,100,0.5,2,2,1,0.5,0.5,0.6436442750700905,0.16910839080810547,False
50,n02672831,164,n04392985,100,0.5,2,2,1,0.5,0.5,0.9656328734313945,0.030703023076057434,False
60,n02807133,151,n04252225,100,0.5,2,2,1,0.5,0.5,0.9235690335529749,0.13128651678562164,False
65,n02870880,76,n03001627,100,0.5,2,2,1,0.5,0.5,0.9753392538003373,0.43192344903945923,False
67,n02880940,115,n03720891,100,0.5,4,2,1,0.25,0.5,0.9253798306885426,0.39385563135147095,False
67,n02880940,131,n03950228,100,0.5,4,2,1,0.25,0.5,0.9449555962216958,0.14081701636314392,False
79,n03063338,76,n03001627,100,0.5,2,2,1,0.5,0.5,0.9806940580639345,0.04843807965517044,False
79,n03063338,115,n03720891,100,0.5,2,2,1,0.5,0.5,0.9451235213236394,0.06364927440881729,False
91,n03249569,67,n02880940,100,0.5,2,2,1,0.5,0.5,0.8457040581224303,0.16347412765026093,False
91,n03249569,161,n04371430,100,0.5,2,2,1,0.5,0.5,0.6241018718879248,0.09971866756677628,False
102,n03476991,115,n03720891,100,0.5,2,2,1,0.5,0.5,0.96045351188506,0.12465469539165497,False
102,n03476991,128,n03916031,100,0.5,2,2,1,0.5,0.5,0.9342776106025106,0.14265497028827667,False
120,n03790512,73,n02970849,100,0.5,2,2,1,0.5,0.5,0.9271426481314275,0.05032685771584511,False
120,n03790512,94,n03314780,100,0.5,2,2,1,0.5,0.5,0.8728152456903984,0.05270639806985855,False
200,n07880968,15,n01982650,100,0.5,2,2,1,0.5,0.5,0.9384717514639765,0.05597223341464996,False
200,n07880968,19,n02084071,100,0.5,2,2,1,0.5,0.5,0.6202937721776296,0.037403106689453125,False
16,n01990800,7,n01674464,100,0.5,3,3,1,0.3333333333333333,0.3333333333333333,0.9240519686982037,0.35506078600883484,False
16,n01990800,107,n03513137,100,0.5,3,3,1,0.3333333333333333,0.3333333333333333,0.9420146703595902,0.281286358833313,False
37,n02395003,42,n02437136,100,0.5,3,3,1,0.3333333333333333,0.3333333333333333,0.904132567418227,0.02711622603237629,False
68,n02883205,124,n03814639,100,0.5,3,3,1,0.3333333333333333,0.3333333333333333,0.618492836775565,0.16195987164974213,False
68,n02883205,160,n04356056,100,0.5,3,3,1,0.3333333333333333,0.3333333333333333,0.5044645021866215,0.05517733097076416,False
94,n03314780,80,n03085013,100,0.5,3,3,1,0.3333333333333333,0.3333333333333333,0.9029391447403424,0.27467045187950134,False
94,n03314780,139,n04026417,100,0.5,3,3,1,0.3333333333333333,0.3333333333333333,0.7108901659157095,0.23597177863121033,False
94,n03314780,160,n04356056,100,0.5,3,3,1,0.3333333333333333,0.3333333333333333,0.8021483831161698,0.10689370334148407,False
96,n03372029,105,n03494278,100,0.5,3,3,1,0.3333333333333333,0.3333333333333333,0.718882484632498,0.09544780850410461,False
118,n03764736,45,n02454379,100,0.5,4,3,1,0.25,0.3333333333333333,0.6045221574845455,0.19805487990379333,False
122,n03797390,67,n02880940,100,0.5,3,3,1,0.3333333333333333,0.3333333333333333,0.6033497926764549,0.06570670008659363,False
122,n03797390,84,n03128519,100,0.5,3,3,1,0.3333333333333333,0.3333333333333333,0.7925461001050573,0.14736363291740417,False
122,n03797390,161,n04371430,100,0.5,3,3,1,0.3333333333333333,0.3333333333333333,0.9273330956516105,0.02958318591117859,False
157,n04330267,8,n01726692,100,0.5,3,3,1,0.3333333333333333,0.3333333333333333,0.6479142143109806,0.0420948788523674,False
157,n04330267,76,n03001627,100,0.5,3,3,1,0.3333333333333333,0.3333333333333333,0.8998446412546515,0.04002412036061287,False
157,n04330267,163,n04379243,100,0.5,3,3,1,0.3333333333333333,0.3333333333333333,0.7548546036893464,0.09477861225605011,False
164,n04392985,76,n03001627,100,0.5,3,3,1,0.3333333333333333,0.3333333333333333,0.9395912048287008,0.03664267435669899,False
179,n06874185,14,n01944390,100,0.5,4,3,1,0.25,0.3333333333333333,0.6478642844929192,0.09604174643754959,False
7,n01674464,4,n01503061,100,0.5,4,4,1,0.25,0.25,0.9489741799916984,0.6806812882423401,False
7,n01674464,8,n01726692,100,0.5,4,4,1,0.25,0.25,0.8640567030991262,0.46156907081604004,False
7,n01674464,42,n02437136,100,0.5,4,4,1,0.25,0.25,0.9271858449275427,0.02617136389017105,False
8,n01726692,189,n07720875,100,0.5,4,4,1,0.25,0.25,0.8620439742684239,0.026355328038334846,False
46,n02484322,191,n07739125,100,0.5,4,4,1,0.25,0.25,0.926906019646631,0.01841486431658268,False
54,n02769748,123,n03804744,100,0.5,8,4,1,0.125,0.25,0.8727527870222243,0.24606195092201233,False
62,n02828884,174,n04542943,100,0.5,4,4,1,0.25,0.25,0.7510939723841473,0.05003365874290466,False
82,n03110669,26,n02206856,100,0.5,5,4,1,0.2,0.25,0.7928475784175654,0.18800604343414307,False
82,n03110669,168,n04487394,100,0.5,5,4,1,0.2,0.25,0.6707813975590192,0.0898389220237732,False
84,n03128519,78,n03062245,100,0.5,4,4,1,0.25,0.25,0.9761650238601554,0.47097048163414,False
136,n04004767,19,n02084071,100,0.5,5,5,1,0.2,0.2,0.872742589231473,0.25441044569015503,False
136,n04004767,109,n03584254,100,0.5,5,5,1,0.2,0.2,0.9661882836342088,0.19136697053909302,False
136,n04004767,114,n03710721,100,0.5,5,5,1,0.2,0.2,0.9149612469616876,0.11647894978523254,False
136,n04004767,116,n03759954,100,0.5,5,5,1,0.2,0.2,0.9397809480369131,0.28028425574302673,False
136,n04004767,157,n04330267,100,0.5,5,5,1,0.2,0.2,0.8886222983443675,0.10387692600488663,False
