image_id,file_name,gt_boxes,predictions,captured_layers,gt_attention_mass,top_pred_attention_mass,attention_entropy,attention_peak_x,attention_peak_y,query_overlay_count,query_gt_attention_mass_mean,query_gt_attention_mass_min,query_gt_attention_mass_max,query_zero_gt_attention_count
338,000000000338_ILSVRC2012_val_00001160.JPEG,3,13,3,0.12613717916135636,0.1711952809882456,0.8647412059794651,0.9921875,0.8984375,1,0.5227139090547644,0.5227139090547644,0.5227139090547644,0
1542,000000001542_ILSVRC2012_val_00005205.JPEG,5,7,3,0.7361691008415552,0.7283420290973157,0.9237696504414747,0.9921875,0.2265625,1,0.9375000010832056,0.9375000010832056,0.9375000010832056,0
539,000000000539_ILSVRC2012_val_00001769.JPEG,5,13,3,0.5134497345704079,0.8258822249754747,0.9234386930136079,0.0078125,0.5234375,1,0.7519545504555607,0.7519545504555607,0.7519545504555607,0
904,000000000904_ILSVRC2012_val_00003067.JPEG,7,5,3,0.9847890647237835,0.9850390491415358,0.898387448211123,0.9921875,0.9921875,1,1.0,1.0,1.0,0
116,000000000116_ILSVRC2012_val_00000431.JPEG,8,11,3,0.9204344453648675,0.9292283151124934,0.8906730944645418,0.0078125,0.3359375,1,0.8213458114200165,0.8213458114200165,0.8213458114200165,0
1379,000000001379_ILSVRC2012_val_00004639.JPEG,5,1,3,0.43778860876719977,0.3928197715171109,0.9271196105128808,0.0078125,0.1171875,1,0.8757475715297797,0.8757475715297797,0.8757475715297797,0
437,000000000437_ILSVRC2012_val_00001497.JPEG,7,11,3,0.9084315003062657,0.8409684341734355,0.9228620305856947,0.0078125,0.5234375,1,0.9936454981657779,0.9936454981657779,0.9936454981657779,0
1485,000000001485_ILSVRC2012_val_00004995.JPEG,3,4,3,0.8713197547288638,0.8857594881312897,0.9257849205442809,0.9921875,0.3828125,1,0.8580484915512558,0.8580484915512558,0.8580484915512558,0
912,000000000912_ILSVRC2012_val_00003115.JPEG,3,8,3,0.7305782418987086,0.7233019351585134,0.8936954818625064,0.2109375,0.2578125,1,0.8756941872185052,0.8756941872185052,0.8756941872185052,0
652,000000000652_ILSVRC2012_val_00002171.JPEG,27,13,3,0.9336954056461584,0.7645024877881206,0.9010377491811825,0.4140625,0.5546875,1,1.0,1.0,1.0,0
1059,000000001059_ILSVRC2012_val_00003559.JPEG,6,9,3,0.8169330045751932,0.7654579730707344,0.9105224408508298,0.0078125,0.4453125,1,1.0,1.0,1.0,0
248,000000000248_ILSVRC2012_val_00000873.JPEG,7,6,3,0.3459282333004415,0.28275426827953754,0.916517341242599,0.0078125,0.0078125,1,0.87592315901323,0.87592315901323,0.87592315901323,0
482,000000000482_ILSVRC2012_val_00001609.JPEG,9,18,3,0.9838070464086548,0.8298570661348204,0.9065878712818227,0.6484375,0.3046875,1,0.8949040535169022,0.8949040535169022,0.8949040535169022,0
289,000000000289_ILSVRC2012_val_00001017.JPEG,16,12,3,0.827850043846428,0.46906219832398327,0.9099757234289898,0.5234375,0.3515625,1,1.0,1.0,1.0,0
807,000000000807_ILSVRC2012_val_00002699.JPEG,11,4,3,0.8316193612278422,0.9688431562157955,0.9498725115134282,0.0078125,0.7109375,1,0.4617711474913711,0.4617711474913711,0.4617711474913711,0
